"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","high","0.0","0.0","0.0","2.0","27.1","0.2","0.0","3.9"
"","low","0.0","0.0","0.0","0.4","4.6","0.0","0.0","0.7"
"Curtis Samuel","CAR ","0.4","2.1","0.0","1.3","16.4","0.1","0.0","2.2"
"","high","0.8","4.1","0.0","1.9","27.9","0.1","0.0","3.4"
"","low","0.0","0.1","0.0","0.8","10.7","0.0","0.0","1.7"
"Aldrick Robinson","SF ","0.1","0.4","0.0","1.1","15.5","0.1","0.0","2.1"
"","high","0.2","1.2","0.0","1.5","21.3","0.1","0.0","4.0"
"","low","0.0","0.0","0.0","0.2","2.9","0.0","0.0","0.4"
"Breshad Perriman","BAL ","0.0","0.0","0.0","1.4","16.2","0.1","0.0","2.0"
"","high","0.0","0.1","0.0","2.1","27.6","0.1","0.0","5.8"
"","low","0.0","0.0","0.0","0.9","9.8","0.0","0.0","1.2"
"De'Anthony Thomas","KC ","0.1","0.7","0.0","1.2","13.1","0.1","0.0","2.0"
"","high","0.2","1.5","0.0","1.6","17.9","0.2","0.0","3.0"
"","low","0.0","0.0","0.0","0.8","8.2","0.0","0.0","1.8"
"Jordan Taylor","DEN ","0.0","0.0","0.0","1.2","14.3","0.1","0.0","1.9"
"","high","0.0","0.0","0.0","2.3","28.7","0.2","0.0","6.0"
"","low","0.0","0.0","0.0","0.2","2.5","0.0","0.0","0.3"
"John Ross","CIN ","0.1","0.6","0.0","1.0","14.7","0.1","0.1","1.9"
"","high","0.3","1.7","0.0","1.5","22.9","0.1","0.0","4.2"
"","low","0.0","0.0","0.0","0.2","2.3","0.0","0.1","0.3"
"Tyler Boyd","CIN ","0.1","0.5","0.0","1.2","13.9","0.1","0.0","1.9"
"","high","0.1","0.9","0.0","1.4","18.2","0.1","0.0","4.0"
"","low","0.0","0.0","0.0","1.1","11.7","0.0","0.0","1.4"
"Bryce Treggs","CLE ","0.0","0.1","0.0","1.1","14.8","0.1","0.0","1.9"
"","high","0.1","0.4","0.0","1.6","17.5","0.1","0.0","2.6"
"","low","0.0","0.0","0.0","0.7","12.0","0.0","0.0","1.5"
"Rashard Higgins","CLE ","0.1","0.5","0.0","1.5","15.3","0.0","0.0","1.8"
"","high","0.2","1.2","0.0","2.1","22.0","0.1","0.0","5.0"
"","low","0.0","0.0","0.0","0.8","8.8","0.0","0.0","1.0"
"Brandon Tate","BUF ","0.0","0.0","0.0","0.7","10.4","0.1","0.0","1.8"
"","high","0.0","0.0","0.0","0.9","17.8","0.2","0.0","2.9"
"","low","0.0","0.0","0.0","0.2","2.5","0.0","0.0","0.6"
"Jared Abbrederis","DET ","0.0","0.0","0.0","1.0","13.5","0.1","0.0","1.7"
"","high","0.0","0.0","0.0","2.0","29.0","0.1","0.0","4.4"
