"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","low","0.4","1.4","0.0","0.3","2.7","0.0","0.0","0.5"
"Jordan Todman","HOU ","0.4","1.5","0.0","0.3","2.1","0.0","0.0","0.5"
"","high","0.4","1.5","0.0","0.3","2.1","0.0","0.0","0.4"
"","low","0.4","1.5","0.0","0.3","2.1","0.0","0.0","0.4"
"CJ Ham","MIN ","0.3","0.7","0.0","0.2","1.8","0.0","0.0","0.4"
"","high","0.4","1.0","0.1","0.4","3.0","0.0","0.0","0.9"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bobby Rainey","BAL ","0.2","0.7","0.0","0.4","2.9","0.0","0.0","0.4"
"","high","0.7","2.8","0.0","0.5","4.0","0.0","0.0","0.9"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Matthew Dayes","CLE ","0.8","3.0","0.0","0.1","0.9","0.0","0.0","0.4"
"","high","0.8","3.0","0.0","0.1","0.9","0.0","0.0","0.6"
"","low","0.8","3.0","0.0","0.1","0.9","0.0","0.0","0.6"
"Peyton Barber","TB ","0.7","2.7","0.0","0.1","1.0","0.0","0.0","0.4"
"","high","0.7","3.0","0.0","0.2","1.7","0.0","0.0","0.6"
"","low","0.6","2.3","0.0","0.0","0.2","0.0","0.0","0.3"
"Mack Brown","WAS ","0.5","2.0","0.0","0.2","1.4","0.0","0.0","0.4"
"","high","0.6","2.4","0.0","0.2","1.9","0.0","0.0","0.4"
"","low","0.4","1.5","0.0","0.1","0.8","0.0","0.0","0.3"
"Patrick DiMarco","BUF ","0.1","0.4","0.0","0.3","2.4","0.0","0.0","0.3"
"","high","0.3","0.9","0.0","0.6","5.8","0.0","0.0","1.6"
"","low","0.0","-0.1","0.0","0.2","1.0","0.0","0.0","0.1"
"Alex Armah","CAR ","0.3","1.1","0.0","0.2","1.2","0.0","0.0","0.3"
"","high","0.6","2.3","0.0","0.3","2.5","0.0","0.0","0.6"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Andre Williams","LAC ","0.3","1.3","0.0","0.2","1.3","0.0","0.0","0.3"
"","high","0.7","2.7","0.0","0.3","2.5","0.0","0.0","0.6"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trey Edmunds","NO ","0.4","1.4","0.0","0.1","0.9","0.0","0.0","0.3"
"","high","0.4","1.6","0.0","0.2","1.9","0.0","0.0","0.5"
"","low","0.3","1.1","0.0","0.0","0.0","0.0","0.0","0.2"
"Andy Janovich","DEN ","0.2","0.8","0.0","0.2","1.3","0.0","0.0","0.3"
"","high","0.2","1.0","0.0","0.3","2.0","0.0","0.0","0.5"
"","low","0.1","0.6","0.0","0.1","0.9","0.0","0.0","0.2"
"Jay Prosch","HOU ","0.1","0.6","0.0","0.1","1.2","0.0","0.0","0.3"
"","high","0.2","0.8","0.0","0.2","1.7","0.0","0.0","0.5"
"","low","0.1","0.4","0.0","0.1","0.7","0.0","0.0","0.1"
"Michael Burton","CHI ","0.3","1.2","0.0","0.2","1.1","0.0","0.0","0.3"
"","high","0.4","2.1","0.0","0.3","1.8","0.0","0.0","0.5"
"","low","0.1","0.5","0.0","0.1","0.7","0.0","0.0","0.1"
"Daniel Lasco","NO ","0.5","1.7","0.0","0.2","1.1","0.0","0.0","0.3"
"","high","0.5","1.8","0.0","0.2","1.6","0.0","0.0","0.4"
"","low","0.5","1.7","0.0","0.1","0.6","0.0","0.0","0.2"
"Brian Hill","ATL ","0.6","2.0","0.0","0.1","1.1","0.0","0.0","0.3"
"","high","0.6","2.0","0.0","0.1","1.1","0.0","0.0","0.3"
"","low","0.6","2.0","0.0","0.1","1.1","0.0","0.0","0.3"
"De'Angelo Henderson","DEN ","0.5","1.5","0.0","0.2","1.1","0.0","0.0","0.3"
"","high","0.6","1.9","0.0","0.2","1.5","0.0","0.0","0.3"
"","low","0.4","1.2","0.0","0.1","0.7","0.0","0.0","0.3"
"Akeem Hunt","KC ","0.3","1.3","0.0","0.1","0.8","0.0","0.0","0.2"
"","high","0.7","2.3","0.0","0.2","1.9","0.0","0.0","0.5"
"","low","0.0","0.0","0.0","0.1","0.2","0.0","0.0","0.2"
"Taiwan Jones","BUF ","0.0","0.1","0.0","0.2","1.8","0.0","0.0","0.2"
"","high","0.1","0.4","0.0","0.7","5.0","0.0","0.0","0.5"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Senorise Perry","MIA ","0.2","0.8","0.0","0.1","1.2","0.0","0.0","0.2"
"","high","0.5","1.7","0.0","0.3","2.3","0.0","0.0","0.4"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Roosevelt Nix","PIT ","0.2","0.8","0.0","0.2","1.0","0.0","0.0","0.2"
"","high","0.4","1.6","0.0","0.2","1.8","0.0","0.0","0.4"
"","low","0.0","0.0","0.0","0.1","0.2","0.0","0.0","0.0"
"Terrell Watson","PIT ","0.4","1.2","0.0","0.1","0.3","0.0","0.0","0.2"
"","high","0.7","2.5","0.0","0.2","0.9","0.0","0.0","0.4"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"James Develin","NE ","0.0","0.0","0.0","0.2","1.4","0.0","0.0","0.2"
"","high","0.0","0.1","0.0","0.2","1.6","0.0","0.0","0.3"
"","low","0.0","0.0","0.0","0.1","1.0","0.0","0.0","0.2"
"Ryan Hewitt","CIN ","0.0","0.0","0.0","0.1","1.4","0.0","0.0","0.2"
"","high","0.0","0.0","0.0","0.2","1.7","0.0","0.0","0.3"
"","low","0.0","0.0","0.0","0.1","1.1","0.0","0.0","0.2"
"Keith Smith","DAL ","0.1","0.3","0.0","0.2","1.2","0.0","0.0","0.2"
"","high","0.1","0.5","0.0","0.2","1.4","0.0","0.0","0.3"
"","low","0.0","0.1","0.0","0.2","0.9","0.0","0.0","0.1"
"Derek Watt","LAC ","0.3","0.8","0.0","0.1","0.8","0.0","0.0","0.2"
"","high","0.4","1.1","0.0","0.2","1.3","0.0","0.0","0.3"
"","low","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.1"
"Anthony Sherman","KC ","0.0","0.0","0.0","0.2","1.5","0.0","0.0","0.1"
"","high","0.0","0.0","0.0","0.2","1.9","0.0","0.0","0.5"
"","low","0.0","0.0","0.0","0.2","1.1","0.0","0.0","0.1"
"Derrick Coleman","ATL ","0.0","0.1","0.0","0.1","0.8","0.0","0.0","0.1"
"","high","0.1","0.1","0.0","0.2","1.6","0.0","0.0","0.3"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dan Vitale","CLE ","0.0","0.0","0.0","0.2","1.4","0.0","0.0","0.1"
"","high","0.0","0.0","0.0","0.2","1.4","0.0","0.0","0.2"
"","low","0.0","0.0","0.0","0.2","1.3","0.0","0.0","0.1"
"Tre Madden","SEA ","0.1","0.1","0.0","0.1","0.3","0.0","0.0","0.1"
"","high","0.1","0.3","0.0","0.1","0.6","0.0","0.0","0.2"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Danny Woodhead","BAL ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Kuhn","NO ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Taquan Mizzell","CHI ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Raheem Mostert","SF ","0.7","2.4","0.0","0.1","0.5","0.0","0.2","-0.1"
"","high","1.2","4.5","0.0","0.2","1.2","0.0","0.0","0.6"
